7/25/2003,Lara Croft: Tomb Raider: The Cradle of Life,90000000,65653758
11/21/2001,Spy Game,90000000,62362560
4/4/1997,The Saint,90000000,61355436
3/10/2000,Mission to Mars,90000000,60874615
12/17/1999,Bicentennial Man,90000000,58220776
7/7/2004,King Arthur,90000000,51877963
4/25/1997,Volcano,90000000,47474112
3/26/1997,The Devil's Own,90000000,42877165
7/19/2002,K-19: The Widowmaker,90000000,35168966
8/19/2011,Conan the Barbarian,90000000,21295021
10/21/2011,The Three Musketeers,90000000,20374484
11/24/2010,The Nutcracker in 3D,90000000,195459
5/10/1996,Twister,88000000,241688385
6/3/2005,Cinderella Man,88000000,61649911
7/8/2005,Fantastic Four,87500000,154695569
2/9/2001,Hannibal,87000000,165091986
7/25/2003,Seabiscuit,86000000,120197488
12/22/2000,Cast Away,85000000,233632142
11/17/2006,Happy Feet,85000000,198000317
12/7/2001,Ocean's Eleven,85000000,183417150
7/23/2004,The Bourne Supremacy,85000000,176087450
7/25/1997,Air Force One,85000000,172620724
4/3/2009,Fast & Furious,85000000,155064265
3/14/2008,Horton Hears a Who,85000000,154529439
3/21/2014,Divergent,85000000,150947895
9/28/2012,Hotel Transylvania,85000000,148313048
11/21/2007,Enchanted,85000000,127706877
2/10/2012,Safe House,85000000,126181630
7/20/2007,I Now Pronounce You Chuck and Larry,85000000,119725280
6/8/2007,Ocean's Thirteen,85000000,117144465
12/25/2009,It's Complicated,85000000,112735375
11/20/1998,Enemy of the State,85000000,111544445
9/29/2006,Open Season,85000000,84325668
11/4/2011,Tower Heist,85000000,78046570
11/22/2000,102 Dalmatians,85000000,66941559
3/30/2012,Mirror Mirror,85000000,64935167
12/8/2006,The Holiday,85000000,63224849
6/16/2006,The Fast and the Furious: Tokyo Drift,85000000,62514415
12/9/2005,Memoirs of a Geisha,85000000,57010853
3/16/2001,Enemy at the Gates,85000000,51396781
6/18/1993,Last Action Hero,85000000,50016394
9/26/2003,The Rundown,85000000,47641743
11/23/2011,Arthur Christmas,85000000,46462469
7/30/2010,Cats & Dogs: The Revenge of Kitty Galore,85000000,45539292
11/13/1998,Meet Joe Black,85000000,44606335
2/8/2002,Collateral Damage,85000000,40048332
3/15/2002,Showtime,85000000,37948765
6/30/1995,Judge Dredd,85000000,34687912
3/2/2007,Zodiac,85000000,33080084
8/13/2010,Scott Pilgrim vs. The World,85000000,31524275
3/28/2003,The Core,85000000,31111260
5/9/1997,Father's Day,85000000,28659604
6/14/2002,Scooby-Doo,84000000,153294164
7/28/2000,Nutty Professor II: The Klumps,84000000,123307945
7/19/2013,RED 2,84000000,53262560
6/23/2006,Click,82500000,137340146
12/15/2006,Charlotte's Web,82500000,82599768
2/14/2008,Jumper,82500000,81168265
7/11/2008,Hellboy II: The Golden Army,82500000,75791785
5/27/2005,The Longest Yard,82000000,158119460
8/13/2010,The Expendables,82000000,103068524
11/17/2000,The 6th Day,82000000,34543701
5/23/2003,Bruce Almighty,81000000,242704995
3/23/2012,The Hunger Games,80000000,408010692
5/26/2011,The Hangover Part II,80000000,254464305
5/21/1996,Mission: Impossible,80000000,180891004
6/18/1992,Batman Returns,80000000,162833635
5/7/1999,The Mummy,80000000,155247825
5/19/2006,Over the Hedge,80000000,155019340
6/21/2002,Lilo & Stitch,80000000,145771527
5/8/1998,Deep Impact,80000000,140300426
7/12/2013,Grown Ups 2,80000000,133668525
12/16/2011,Alvin and the Chipmunks: Chipwrecked,80000000,133107389
6/20/2008,Get Smart,80000000,130319208
3/11/2005,Robots,80000000,128200012
